2021-01-01,80,100,50
2021-02-01,85,110,55
2021-03-01,90,120,60
2021-04-01,95,130,65
2021-05-01,100,140,70
2021-06-01,105,150,75
2021-07-01,110,160,80
2021-08-01,115,170,85
2021-09-01,120,180,90
2021-10-01,125,190,95
2021-11-01,80,100,50
2021-12-01,85,110,55
2022-01-01,80,100,50
2022-02-01,85,110,55
2022-03-01,90,120,60
2022-04-01,95,130,65
2022-05-01,100,140,70
2022-06-01,105,150,75
2022-07-01,110,160,80
2022-08-01,115,170,85
2022-09-01,120,180,90
2022-10-01,125,190,95
2023-01-01,80,164,50
2023-02-01,85,145,55
2023-03-01,90,176,60
2023-04-01,95,111,65
2023-05-01,100,145,70
2023-06-01,105,123,75
2023-07-01,110,154,80
2023-08-01,115,123,85
2023-09-01,120,134,90
2023-10-01,125,191,95
